Accession,Description
BDA40328.1,LPS-assembly protein LptD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40327.1,DNA repair protein RadA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40326.1,transcriptional regulatory protein WalR [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40325.1,phosphoadenosine phosphosulfate reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40324.1,hypothetical protein CPARK_000116200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40323.1,multidrug resistance protein MdtC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40322.1,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40321.1,hypothetical protein CPARK_000115900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40320.1,NAD(P)H-quinone oxidoreductase chain 4 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40319.1,glutamate--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40318.1,Undecaprenyl-diphosphatase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40317.1,energy-coupling factor transporter transmembrane protein EcfT [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40316.1,sn-glycerol-3-phosphate import ATP-binding protein UgpC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40315.1,hypothetical protein CPARK_000115300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40314.1,hypothetical protein CPARK_000115200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40313.1,squalene--hopene cyclase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40312.1,hypothetical protein CPARK_000115000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40311.1,Sec-independent protein translocase protein TatA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40310.1,hypothetical protein CPARK_000114800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40309.1,amino-acid carrier protein AlsT [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40308.1,Homoserine kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40307.1,negative regulator of genetic competence ClpC/MecB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40306.1,adenosine deaminase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40305.1,hypothetical protein CPARK_000114200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40304.1,regulator of RpoS [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40303.1,multidrug resistance protein MdtA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40302.1,DNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40301.1,hypothetical protein CPARK_000113800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40300.1,hypothetical protein CPARK_000113700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40299.1,alanine--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40298.1,hypothetical protein CPARK_000113500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40297.1,chromosome partition protein Smc [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40296.1,global nitrogen regulator [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40295.1,enoyl-[acyl-carrier-protein] reductase FabI [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40294.1,hypothetical protein CPARK_000113100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40293.1,hypothetical protein CPARK_000113000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40292.1,1
BDA40291.1,30S ribosomal protein S15 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40290.1,signal recognition particle receptor FtsY [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40289.1,cysteine--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40288.1,UDP-N-acetylglucosamine 2-epimerase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40287.1,putative amidase AmiB2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40286.1,putative ABC transporter ATP-binding protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40285.1,hypothetical protein CPARK_000112200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40284.1,hypothetical protein CPARK_000112100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40283.1,UDP-glucose 4-epimerase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40282.1,FO synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40281.1,putative peptidoglycan glycosyltransferase FtsW [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40280.1,aspartate--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40279.1,decarbamoylnovobiocin carbamoyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40278.1,hypothetical protein CPARK_000111500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40277.1,hypothetical protein CPARK_000111400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40276.1,histidine--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40275.1,hypothetical protein CPARK_000111200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40274.1,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40273.1,hypothetical protein CPARK_000111000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40272.1,chromosome partition protein Smc [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40271.1,hypothetical protein CPARK_000110800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40270.1,hypothetical protein CPARK_000110700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40269.1,hypothetical protein CPARK_000110600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40268.1,hypothetical protein CPARK_000110500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40267.1,hypothetical protein CPARK_000110400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40266.1,adaptive-response sensory-kinase SasA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40265.1,hypothetical protein CPARK_000125700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40264.1,deoxyribose-phosphate aldolase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40263.1,DNA-directed RNA polymerase subunit beta' [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40262.1,hypothetical protein CPARK_000110000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40261.1,hypothetical protein CPARK_000109900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40260.1,hypothetical protein CPARK_000109800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40259.1,dipeptide transport system permease protein DppB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40258.1,putative ABC transporter-binding protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40257.1,adaptive-response sensory-kinase SasA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40256.1,acetyl-coenzyme A carboxylase carboxyl transferase subunit beta [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40255.1,endonuclease MutS2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40254.1,alanine dehydrogenase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40253.1,D-inositol-3-phosphate glycosyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40252.1,D-inositol-3-phosphate glycosyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40251.1,hypothetical protein CPARK_000108900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40250.1,D-glycero-beta-D-manno-heptose-1
BDA40249.1,phosphoheptose isomerase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40248.1,GDP-L-fucose synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40247.1,NADH-quinone oxidoreductase subunit H [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40246.1,NAD(P)H-quinone oxidoreductase subunit I [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40245.1,hypothetical protein CPARK_000108300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40244.1,NADH-quinone oxidoreductase subunit 11 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40243.1,hypothetical protein CPARK_000108100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40242.1,putative oxidoreductase YceM [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40241.1,protein RecA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40240.1,adaptive-response sensory-kinase SasA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40239.1,putative adenylyltransferase/sulfurtransferase MoeZ [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40238.1,hypothetical protein CPARK_000107600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40237.1,HTH-type transcriptional activator CmpR [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40236.1,hypothetical protein CPARK_000107400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40235.1,30S ribosomal protein S10 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40234.1,elongation factor Tu [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40233.1,elongation factor G [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40232.1,30S ribosomal protein S7 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40231.1,30S ribosomal protein S12 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40230.1,N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40229.1,hypothetical protein CPARK_000106700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40228.1,hypothetical protein CPARK_000106600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40227.1,hypothetical protein CPARK_000106500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40226.1,putative glycosyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40225.1,hypothetical protein CPARK_000106300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40224.1,tetratricopeptide repeat protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40223.1,hypothetical protein CPARK_000106100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40222.1,3-oxoacyl-[acyl-carrier-protein] reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40221.1,alkyl hydroperoxide reductase C [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40220.1,UDP-N-acetylmuramate--L-alanine ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40219.1,UDP-N-acetylenolpyruvoylglucosamine reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40218.1,hypothetical protein CPARK_000105600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40217.1,lipid-A-disaccharide synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40216.1,hypothetical protein CPARK_000105400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40215.1,30S ribosomal protein S16 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40214.1,LPS-assembly protein LptD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40213.1,hypothetical protein CPARK_000105100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40212.1,sulfate adenylyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40211.1,putative D
BDA40210.1,D-alanyl-D-alanine dipeptidase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40209.1,UvrABC system protein B [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40208.1,glucose-1-phosphate adenylyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40207.1,magnesium-protoporphyrin O-methyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40206.1,putative protein kinase UbiB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40205.1,hypothetical protein CPARK_000104300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40204.1,iron-sulfur cluster carrier protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40203.1,peptidoglycan glycosyltransferase MrdB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40202.1,serine--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40201.1,threonine--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40200.1,3-dehydroquinate dehydratase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40199.1,hypothetical protein CPARK_000103700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40198.1,hypothetical protein CPARK_000103600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40197.1,ribonuclease R [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40196.1,30S ribosomal protein S18 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40195.1,50S ribosomal protein L33 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40194.1,putative peroxiredoxin bcp [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40193.1,hypothetical protein CPARK_000103100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40192.1,cobyric acid synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40191.1,hypothetical protein CPARK_000102900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40190.1,light-independent protochlorophyllide reductase subunit N [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40189.1,light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40188.1,hypothetical protein CPARK_000102600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40187.1,ferredoxin [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40186.1,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2
BDA40185.1,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40184.1,hypothetical protein CPARK_000102200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40183.1,hypothetical protein CPARK_000102100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40182.1,hypothetical protein CPARK_000102000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40181.1,apolipoprotein N-acyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40180.1,signal peptidase I T [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40179.1,serine acetyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40178.1,hypothetical protein CPARK_000101600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40177.1,putative adenylyl-sulfate kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40176.1,cobalamin biosynthesis bifunctional protein CbiET [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40175.1,cobalt-precorrin-8 methylmutase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40174.1,hypothetical protein CPARK_000101200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40173.1,acetoin:2
BDA40172.1,hypothetical protein CPARK_000101000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40171.1,30S ribosomal protein S21 A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40170.1,hypothetical protein CPARK_000100800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40169.1,proton extrusion protein PcxA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40168.1,hypothetical protein CPARK_000100600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40167.1,hypothetical protein CPARK_000100500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40166.1,segregation and condensation protein B [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40165.1,circadian clock protein kinase KaiC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40164.1,60 kDa chaperonin 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40163.1,10 kDa chaperonin [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40162.1,hypothetical protein CPARK_000100000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40161.1,hypothetical protein CPARK_000099900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40160.1,photosystem I reaction center subunit XII [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40159.1,hypothetical protein CPARK_000099700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40158.1,Sec-independent protein translocase protein TatC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40157.1,acetyl-coenzyme A synthetase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40156.1,dTDP-3-amino-3
BDA40155.1,lipopolysaccharide export system protein LptC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40154.1,hypothetical protein CPARK_000099200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40153.1,methionine--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40152.1,protein translocase subunit SecA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40151.1,hypothetical protein CPARK_000098900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40150.1,FeS cluster assembly protein SufB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40149.1,putative ATP-dependent transporter SufC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40148.1,FeS cluster assembly protein SufD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40147.1,putative cysteine desulfurase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40146.1,hypothetical protein CPARK_000098400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40145.1,putative multidrug export ATP-binding/permease protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40144.1,ribosomal protein S12 methylthiotransferase RimO [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40143.1,putative dual-specificity RNA methyltransferase RlmN [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40142.1,guanylate kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40141.1,hypothetical protein CPARK_000097900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40140.1,threonylcarbamoyl-AMP synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40139.1,hypothetical protein CPARK_000097700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40138.1,elongation factor 4 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40137.1,hypothetical protein CPARK_000097500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40136.1,transcription termination/antitermination protein NusA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40135.1,ribosome maturation factor RimP [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40134.1,hypothetical protein CPARK_000097200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40133.1,hypothetical protein CPARK_000125600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40132.1,ATP-dependent Clp protease proteolytic subunit [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40131.1,ATP-dependent Clp protease proteolytic subunit [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40130.1,hypothetical protein CPARK_000096900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40129.1,hypothetical protein CPARK_000096800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40128.1,1
BDA40127.1,photosystem I P700 chlorophyll a apoprotein A2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40126.1,photosystem I P700 chlorophyll a apoprotein A1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40125.1,holliday junction ATP-dependent DNA helicase RuvA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40124.1,hypothetical protein CPARK_000096300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40123.1,hydroxyacylglutathione hydrolase GloB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40122.1,putative metal chaperone YciC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40121.1,tRNA modification GTPase MnmE [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40120.1,hypothetical protein CPARK_000095900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40119.1,ABC transporter glutamine-binding protein GlnH [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40118.1,hypothetical protein CPARK_000095700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40117.1,ATP-dependent zinc metalloprotease FtsH 2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40116.1,transketolase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40115.1,transcriptional regulator LytR [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40114.1,N-acetyl-gamma-glutamyl-phosphate reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40113.1,GTPase Era [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40112.1,6-phosphogluconate dehydrogenase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40111.1,hypothetical protein CPARK_000095000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40110.1,ribosomal RNA small subunit methyltransferase H [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40109.1,S-adenosylmethionine synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40108.1,tryptophan--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40107.1,peptide deformylase 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40106.1,hypothetical protein CPARK_000094500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40105.1,lipoprotein signal peptidase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40104.1,hypothetical protein CPARK_000094300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40103.1,hypothetical protein CPARK_000094200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40102.1,hypothetical protein CPARK_000094100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40101.1,2-octaprenyl-3-methyl-6-methoxy-1
BDA40100.1,enolase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40099.1,folate-biopterin transporter [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40098.1,ATP-dependent DNA helicase Rep [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40097.1,photosystem I reaction center subunit PsaK [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40096.1,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40095.1,thiazole synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40094.1,ATP-dependent DNA helicase RecG [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40093.1,4-hydroxybenzoate solanesyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40092.1,ferrochelatase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40091.1,tRNA N6-adenosine threonylcarbamoyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40090.1,protein translocase subunit SecF [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40089.1,protein translocase subunit SecDF [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40088.1,2-oxoisovalerate dehydrogenase subunit beta [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40087.1,hypothetical protein CPARK_000092600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40086.1,CCA-adding enzyme [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40085.1,hypothetical protein CPARK_000092400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40084.1,hypothetical protein CPARK_000092300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40083.1,putative 30S ribosomal protein PSRP-3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40082.1,adaptive-response sensory-kinase SasA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
